,Open,High,Low,Close,Adj Close,Volume
2025-04-21 22:00:38.995671,105.01360305799179,106.03476789021936,103.03200745324725,105.01360305799179,105.01360305799179,1213314
2025-04-22 22:00:38.995671,105.61416376702971,106.88174399248464,105.00510370430295,105.61416376702971,105.61416376702971,6226588
2025-04-23 22:00:38.995671,105.73811875856796,107.50332814343373,104.59949758935828,105.73811875856796,105.73811875856796,9569425
2025-04-24 22:00:38.995671,105.44296465803147,106.03363702952568,105.44091104338574,105.44296465803147,105.44296465803147,1814429
2025-04-25 22:00:38.995671,104.95107829397132,104.99603364279687,103.10452131309225,104.95107829397132,104.95107829397132,5362435
2025-04-28 22:00:38.995671,108.21525201360807,108.2725929757846,107.6219334546625,108.21525201360807,108.21525201360807,5468101
2025-04-29 22:00:38.995671,107.07673806659854,108.10185364171949,105.11679352688789,107.07673806659854,107.07673806659854,4404233
2025-04-30 22:00:38.995671,104.5315563518258,106.30653640841372,102.52963369530926,104.5315563518258,104.5315563518258,9956470
2025-05-01 22:00:38.995671,105.90469643399595,107.50367136114133,103.89369059658209,105.90469643399595,105.90469643399595,5854500
2025-05-02 22:00:38.995671,109.75744158092932,110.69880544651552,108.33921066490208,109.75744158092932,109.75744158092932,6855013
2025-05-05 22:00:38.995671,106.47837989249477,106.63241571527612,104.72751567500323,106.47837989249477,106.47837989249477,8220989
2025-05-06 22:00:38.995671,104.48605802101665,104.67055607149477,103.9466056497159,104.48605802101665,104.48605802101665,8899532
2025-05-07 22:00:38.995671,102.00668199460323,102.62521683316949,101.23449211256347,102.00668199460323,102.00668199460323,7510229
2025-05-08 22:00:38.995671,104.4227267210201,105.82916199015901,103.48987239114795,104.4227267210201,104.4227267210201,1459509
2025-05-09 22:00:38.995671,103.48950385330863,103.8328449901102,102.87524715879051,103.48950385330863,103.48950385330863,3486111
2025-05-12 22:00:38.995671,101.6510799766855,101.67075014946224,100.23129907333403,101.6510799766855,101.6510799766855,8967569
2025-05-13 22:00:38.995671,103.21913654250987,104.46594572146513,102.95967473382052,103.21913654250987,103.21913654250987,4490160
2025-05-14 22:00:38.995671,106.53406264905757,107.77226386968204,105.72781175352216,106.53406264905757,106.53406264905757,4060594
2025-05-15 22:00:38.995671,105.29356985540612,105.61790964814811,104.35286938095753,105.29356985540612,105.29356985540612,5498675
2025-05-16 22:00:38.995671,105.88188168648665,107.65367499189027,105.21907061050055,105.88188168648665,105.88188168648665,5630731
2025-05-19 22:00:38.995671,105.38080078845078,106.67132585831176,103.77596857250548,105.38080078845078,105.38080078845078,9083117
2025-05-20 22:00:38.995671,106.1249218854006,108.19865674834296,105.14522332217032,106.1249218854006,106.1249218854006,8306193
2025-05-21 22:00:38.995671,105.50099950828381,107.40360497018786,105.21669677794763,105.50099950828381,105.50099950828381,9716580
2025-05-22 22:00:38.995671,107.40905715150586,109.04542778756517,105.26826743932098,107.40905715150586,107.40905715150586,3175882
2025-05-23 22:00:38.995671,111.3257007082194,111.4373026297734,109.41220786555402,111.3257007082194,111.3257007082194,5053222
2025-05-26 22:00:38.995671,113.08065208307816,114.79242426313628,111.70904620822922,113.08065208307816,113.08065208307816,6133448
2025-05-27 22:00:38.995671,118.79554273747189,121.02851039173535,118.14917705939818,118.79554273747189,118.79554273747189,4203165
2025-05-28 22:00:38.995671,119.23665247154047,121.1378892209816,118.94696934596107,119.23665247154047,119.23665247154047,2993368
2025-05-29 22:00:38.995671,116.06779799721632,116.51344823788257,114.26120983350683,116.06779799721632,116.06779799721632,3386529
2025-05-30 22:00:38.995671,120.4786501421708,121.74715715837169,119.21669043256621,120.4786501421708,120.4786501421708,7154940
2025-06-02 22:00:38.995671,127.81984803123366,129.72081268299354,125.84081155629987,127.81984803123366,127.81984803123366,6717810
2025-06-03 22:00:38.995671,127.60895941928833,129.31768889165514,126.69311131510035,127.60895941928833,127.60895941928833,1742477
2025-06-04 22:00:38.995671,129.74383646297434,129.94923972369875,129.51331026773374,129.74383646297434,129.74383646297434,6523675
2025-06-05 22:00:38.995671,136.17756210260444,137.33162402806127,134.5017890074151,136.17756210260444,136.17756210260444,9210118
2025-06-06 22:00:38.995671,135.89046910390462,136.3706256995896,135.3822549829903,135.89046910390462,135.89046910390462,6141288
2025-06-09 22:00:38.995671,138.30774871122995,139.50127463811742,137.72207096660333,138.30774871122995,138.30774871122995,8072814
2025-06-10 22:00:38.995671,135.07456354326322,136.76329386702548,134.62394192999983,135.07456354326322,135.07456354326322,2350500
2025-06-11 22:00:38.995671,135.8070230383692,136.74738208532895,134.67387216198995,135.8070230383692,135.8070230383692,5361540
2025-06-12 22:00:38.995671,131.2137338736157,132.0883782924376,129.83760533700593,131.2137338736157,131.2137338736157,5748332
2025-06-13 22:00:38.995671,134.0379661029829,134.0806234775919,133.43742716536815,134.0379661029829,134.0379661029829,7080968
2025-06-16 22:00:38.995671,131.44276069047163,131.54352818518703,131.0939191436523,131.44276069047163,131.44276069047163,5179832
2025-06-17 22:00:38.995671,131.07296240220677,133.0002246589897,129.5646578803941,131.07296240220677,131.07296240220677,3254824
2025-06-18 22:00:38.995671,127.56938127483151,128.01193779433345,127.34629076869192,127.56938127483151,127.56938127483151,1616193
2025-06-19 22:00:38.995671,121.71687434077502,123.16007362402094,120.18059255124675,121.71687434077502,121.71687434077502,3327482
2025-06-20 22:00:38.995671,120.8649982419503,122.79131515232469,118.72859071641399,120.8649982419503,120.8649982419503,9272551
